Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
18,91.02342427606793,89.75101015616468,90.99953902888751
19,90.95790182552828,89.72916894179318,91.10325752919482
20,91.15446917714723,89.68002620945724,91.0878918254456
21,90.98702291465702,89.7455498525718,91.06484326982175
22,91.03980488870285,89.5817407447854,91.06868469575906
23,91.0379848206323,89.67456590586437,91.06868469575906
24,91.04708516098503,89.64180408430708,91.07636754763368
0,24.01943832699343,27.78748498416512,26.774738783036263
1,51.395082176073394,56.612427650977395,56.66103257529195
2,70.91349216460696,69.32947471879437,71.13552550706822
3,79.53151447864151,67.99170033853882,68.01244622003686
4,82.5091458420545,78.10964289614503,80.6200061462815
5,83.96338023042063,82.29769575188381,83.75845113706207
6,85.14824454434596,81.12373047941466,83.90826674861708
7,85.91267313397522,83.2696297914164,85.46404425322679
8,86.44777314671569,86.31101889265044,88.51413644744929
9,87.00653404437327,83.20410614830185,86.65488629379225
10,89.84038003021314,89.17767827891231,91.29148740012292
11,90.43554228928163,89.18859888609806,91.02258758451136
12,90.71583277214569,89.31964617232718,91.16472034419175
13,90.84505760515444,89.55443922682102,91.44514443761523
14,90.906939919553,89.37970951184886,91.1839274738783
15,91.43839979615238,89.690946816643,91.55270436385986
16,91.4984620424804,89.70186742382876,91.58343577135832
17,91.55488415266731,89.75647045975757,91.56422864167179
18,91.51666272318585,89.67456590586437,91.53733866011062
19,91.53668347196185,89.68548651305012,91.53733866011062
20,91.59492565021932,89.65818499508573,91.55654578979716
21,91.63678721584188,89.690946816643,91.57959434542101
22,91.63314707970078,89.71824833460741,91.56807006760909
23,91.5894654460077,89.72916894179318,91.53733866011062
24,91.59674571828987,89.75647045975757,91.55270436385986
