Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
0,46.597382742114554,67.6750027301518,59.1118623232944
1,83.66852920299219,85.83597248006988,85.33343577135832
2,87.78552317856688,87.23381019984711,87.22341733251382
3,89.32348069817812,89.11761493939063,89.62430854333128
4,90.21349398467503,88.77907611663208,88.44499078057775
5,90.75405420162714,90.07862837173747,90.08527965580822
6,91.19815081084033,90.22059626515234,89.46681007990165
7,91.79513313797936,90.41170689090313,92.04824830977259
8,92.15186647980636,91.38910123402862,91.79471419791025
9,92.31931274229656,90.78300753521896,91.56038721573448
10,94.00651584369257,93.63874631429508,94.29548248309771
11,94.51613490344539,93.72065086818827,94.47218807621388
12,94.78914511402728,93.70426995740964,94.39535955746773
13,94.88014851755456,93.70426995740964,94.42609096496619
14,95.02575396319824,93.96090422627498,94.58743085433312
15,95.26418288043973,94.02096756579667,94.65273509526736
16,95.28056349307464,93.88445997597466,94.76413644744929
17,95.35154614782594,93.94452331549634,94.6757836508912
18,95.41342846222449,94.07557060172546,94.62584511370619
19,95.41342846222449,93.91176149393907,94.64121081745543
20,95.3224250586972,93.96090422627498,94.59127228027043
21,95.3497260797554,94.0100469586109,94.64889366933005
22,95.35154614782594,93.88445997597466,94.61047940995697
23,95.3897675773074,93.85169815441739,94.62584511370619
24,95.53355295488052,93.8789996723818,94.6719422249539
