Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
17,95.85570500336713,94.1192530304685,95.32882606023355
18,95.85570500336713,94.13017363765425,95.30961893054702
19,95.83932439073222,94.12471333406137,95.24047326367547
20,95.85024479915549,94.15201485202577,95.29425322679778
21,95.85752507143768,94.24484001310472,95.26736324523662
22,95.93942813461224,93.99912635142515,95.27888752304855
23,95.85206486722603,94.18477667358304,95.27504609711124
24,95.8939264328486,94.19569728076881,95.29041180086047
0,32.14422219391005,51.98209020421536,49.50829748002458
1,81.06583186211165,84.97870481598777,85.61770129071911
2,86.6625411790401,84.97870481598777,85.67148125384142
3,88.46440856888049,87.79622146991373,88.97894898586355
4,89.51822798172651,89.83291471005788,91.40673017824216
5,90.5538467138671,88.31495031123731,89.45912722802703
6,91.39653823052983,89.8001528885006,90.7921020282729
7,91.98442021731613,89.92573987113684,89.9777197295636
8,92.37755492055403,89.63088347712133,90.8958205285802
9,92.53226070655043,91.90236977175931,92.37476951444376
10,94.17942231039441,93.73157147537403,94.6757836508912
11,94.65264000873633,93.85169815441739,94.75261216963736
12,94.83646688386146,94.07557060172546,94.86401352181929
13,94.8655879729902,93.89538058316043,94.81023355869698
14,94.98571246564622,94.05372938735394,94.93700061462815
15,95.31332471834448,94.31582395981216,95.01767055931161
16,95.24780226780483,94.23937970951185,94.99846342962506
17,95.2387019274521,94.29944304903353,95.00998770743699
18,95.31332471834448,94.15747515561866,94.96773202212661
19,95.35700635203757,94.10833242328273,94.97541487400122
20,95.37338696467248,94.04280878016817,94.97157344806392
21,95.22414138288772,94.31036365621928,94.99462200368775
22,95.34062573940267,94.33220487059081,94.97541487400122
23,95.3024043099212,94.34312547777657,94.99078057775046
24,95.3224250586972,94.27214153106914,94.98693915181315
